text,label
I love a good hotdog with mustard and relish,hotdog
That hotdog stand has the best chili dogs in town,hotdog
Nothing beats a classic hotdog at the ballpark,hotdog
Grilled hotdogs are my favorite summer food,hotdog
The hotdog buns were perfectly toasted,hotdog
I prefer my hotdog with ketchup and onions,hotdog
These hotdogs have a great snap to them,hotdog
Footlong hotdogs are too much for me,hotdog
Juicy hamburgers fresh off the grill are amazing,hamburger
I'll take a cheeseburger with bacon please,hamburger
That burger joint makes the best hamburgers,hamburger
Double hamburgers are my weakness,hamburger
The hamburger was cooked to perfection,hamburger
I love hamburgers with lettuce tomato and pickles,hamburger
These hamburgers have such great beef flavor,hamburger
Smash burgers are my favorite style of hamburger,hamburger
The weather is nice today,unknown
I need to finish my project by Friday,unknown
Have you seen my keys anywhere,unknown
The meeting starts at 3pm,unknown
I'm thinking about getting a new car,unknown
That movie was really entertaining,unknown
Can you help me with this math problem,unknown
The traffic was terrible this morning,unknown
